station_id,timestamp,latitude,longitude,elevation,azimuth,zenith_wet_delay,temperature,humidity,pressure
GNSS001,2024-01-01T00:00:00Z,40.7128,-74.0060,10.2,180.0,0.245,15.2,65.4,1013.25
GNSS001,2024-01-01T01:00:00Z,40.7128,-74.0060,10.2,185.0,0.248,14.8,67.1,1013.10
GNSS001,2024-01-01T02:00:00Z,40.7128,-74.0060,10.2,190.0,0.251,14.5,68.2,1012.95
GNSS001,2024-01-01T03:00:00Z,40.7128,-74.0060,10.2,195.0,0.246,14.1,69.8,1012.80
GNSS001,2024-01-01T04:00:00Z,40.7128,-74.0060,10.2,200.0,0.238,13.8,71.2,1012.65
GNSS001,2024-01-01T05:00:00Z,40.7128,-74.0060,10.2,205.0,0.255,13.5,72.5,1012.50
GNSS001,2024-01-01T06:00:00Z,40.7128,-74.0060,10.2,210.0,0.267,13.2,73.8,1012.35
GNSS001,2024-01-01T07:00:00Z,40.7128,-74.0060,10.2,215.0,0.278,13.9,74.2,1012.20
GNSS001,2024-01-01T08:00:00Z,40.7128,-74.0060,10.2,220.0,0.289,14.6,73.9,1012.05
GNSS001,2024-01-01T09:00:00Z,40.7128,-74.0060,10.2,225.0,0.301,15.3,72.8,1011.90
GNSS001,2024-01-01T10:00:00Z,40.7128,-74.0060,10.2,230.0,0.312,16.0,71.5,1011.75
GNSS001,2024-01-01T11:00:00Z,40.7128,-74.0060,10.2,235.0,0.308,16.7,70.2,1011.60
GNSS001,2024-01-01T12:00:00Z,40.7128,-74.0060,10.2,240.0,0.298,17.4,68.9,1011.45
GNSS001,2024-01-01T13:00:00Z,40.7128,-74.0060,10.2,245.0,0.287,18.1,67.6,1011.30
GNSS001,2024-01-01T14:00:00Z,40.7128,-74.0060,10.2,250.0,0.276,18.8,66.3,1011.15
GNSS001,2024-01-01T15:00:00Z,40.7128,-74.0060,10.2,255.0,0.265,19.5,65.0,1011.00
GNSS001,2024-01-01T16:00:00Z,40.7128,-74.0060,10.2,260.0,0.254,20.2,63.7,1010.85
GNSS001,2024-01-01T17:00:00Z,40.7128,-74.0060,10.2,265.0,0.248,19.8,64.2,1010.70
GNSS001,2024-01-01T18:00:00Z,40.7128,-74.0060,10.2,270.0,0.241,19.4,64.7,1010.55
GNSS001,2024-01-01T19:00:00Z,40.7128,-74.0060,10.2,275.0,0.235,19.0,65.2,1010.40
GNSS001,2024-01-01T20:00:00Z,40.7128,-74.0060,10.2,280.0,0.233,18.6,65.7,1010.25
GNSS001,2024-01-01T21:00:00Z,40.7128,-74.0060,10.2,285.0,0.236,18.2,66.2,1010.10
GNSS001,2024-01-01T22:00:00Z,40.7128,-74.0060,10.2,290.0,0.239,17.8,66.7,1009.95
GNSS001,2024-01-01T23:00:00Z,40.7128,-74.0060,10.2,295.0,0.242,17.4,67.2,1009.80
GNSS002,2024-01-01T00:00:00Z,34.0522,-118.2437,71.0,180.0,0.187,18.5,45.2,1015.50
GNSS002,2024-01-01T01:00:00Z,34.0522,-118.2437,71.0,185.0,0.189,18.2,46.1,1015.35
GNSS002,2024-01-01T02:00:00Z,34.0522,-118.2437,71.0,190.0,0.191,17.9,47.0,1015.20
GNSS002,2024-01-01T03:00:00Z,34.0522,-118.2437,71.0,195.0,0.188,17.6,47.9,1015.05
GNSS002,2024-01-01T04:00:00Z,34.0522,-118.2437,71.0,200.0,0.182,17.3,48.8,1014.90
GNSS002,2024-01-01T05:00:00Z,34.0522,-118.2437,71.0,205.0,0.195,17.0,49.7,1014.75
GNSS002,2024-01-01T06:00:00Z,34.0522,-118.2437,71.0,210.0,0.203,16.7,50.6,1014.60
GNSS002,2024-01-01T07:00:00Z,34.0522,-118.2437,71.0,215.0,0.211,17.4,50.2,1014.45
